time,pid_error
0.983908892,-218.333906
1.025869608,-211.685485
1.067097902,-195.6830589
1.108375788,-171.6793968
1.150257349,-156.0
1.192209959,-128.0
1.234961748,-100.0
1.277819395,-83.66597145
1.320463896,-61.66264503
1.362643003,-30.21931678
1.40542078,-12.20836097
1.448027134,-4.203478158
1.48821497,1.800183952
1.527940512,1.800183952
1.568215609,-3.202867806
1.608389139,-3.202867806
1.648477554,1.800183952
1.68870616,1.800183952
1.728515863,1.800183952
1.76901865,1.800183952
1.809017181,1.800183952
1.849594831,1.800183952
1.890295982,1.800183952
1.930211544,1.800183952
1.970708609,1.800183952
2.011208773,1.800183952
2.051780701,1.800183952
2.091474533,1.800183952
2.131840229,1.800183952
2.172205925,1.800183952
2.212367058,1.800183952
2.252818823,1.800183952
2.292488098,1.800183952
2.332520723,1.800183952
2.372471809,1.800183952
2.412670851,1.800183952
2.452739716,1.800183952
2.492366076,1.800183952
2.532817364,1.800183952
2.573178053,1.800183952
2.613582373,1.800183952
2.653964996,1.800183952
2.694385767,1.800183952
2.73433876,1.800183952
2.774764538,1.800183952
2.815100431,1.800183952
2.855495453,1.800183952
2.895349979,1.800183952
2.936283112,1.800183952
2.976350069,1.800183952
3.016552925,1.800183952
3.056928635,1.800183952
3.096499443,1.800183952
3.136663198,1.800183952
3.177024126,1.800183952
3.217663288,1.800183952
3.258038759,1.800183952
3.297986269,1.800183952
3.338494301,1.800183952
3.379010677,1.800183952
3.419523954,1.800183952
3.46003294,1.800183952
3.500051737,1.800183952
3.5405972,1.800183952
3.580863953,1.800183952
3.621092796,1.800183952
3.661573887,1.800183952
3.701499462,1.800183952
3.742113113,1.800183952
3.782470226,1.800183952
3.823198795,1.800183952
3.863096952,1.800183952
3.903562307,1.800183952
3.943964958,1.800183952
3.98465395,1.800183952
4.024900913,1.800183952
4.064602613,1.800183952
4.104912043,1.800183952
4.145502567,1.800183952
4.185932398,1.800183952
4.226366997,1.800183952
4.266870022,1.800183952
4.306644678,1.800183952
4.347011328,1.800183952
4.38743639,1.800183952
4.428024769,1.800183952
4.46801281,1.800183952
4.508253813,1.800183952
4.548337221,1.800183952
4.588669062,1.800183952
4.628855467,1.800183952
4.668730736,1.800183952
4.708860397,1.800183952
4.748894453,1.800183952
4.788900852,1.800183952
4.828931093,1.800183952
4.868885756,1.800183952
4.908902407,1.800183952
4.948995113,1.800183952
4.989472866,1.800183952
5.029872417,1.800183952
5.069502831,1.800183952
5.109954596,1.800183952
5.150210142,1.800183952
5.190480471,1.800183952
5.230700493,1.800183952
5.270449877,1.800183952
5.310926437,1.800183952
5.351301193,1.800183952
5.391485929,1.800183952
5.431982279,1.800183952
5.471679211,1.800183952
5.512096167,1.800183952
5.552684784,1.800183952
5.593072414,1.800183952
5.633407593,1.800183952
5.673041105,1.800183952
5.713058949,1.800183952
5.75340414,1.800183952
5.794075251,1.800183952
5.834353924,1.800183952
5.874137402,1.800183952
5.914647818,1.800183952
5.954905033,1.800183952
5.995397329,1.800183952
6.035767555,1.800183952
6.075885057,1.800183952
6.116785288,1.800183952
6.157052517,1.800183952
6.197280645,1.800183952
6.237660646,1.800183952
6.277711868,1.800183952
6.318086863,1.800183952
6.358394146,1.800183952
6.398884773,1.800183952
6.439234257,1.800183952
6.47901392,1.800183952
6.51935029,1.800183952
6.559831619,1.800183952
6.600358248,1.800183952
6.640264511,1.800183952
6.680876493,1.800183952
6.721068382,1.800183952
6.761258602,1.800183952
6.80163765,1.800183952
6.841198921,1.800183952
6.881422043,1.800183952
6.921704531,1.800183952
6.962169647,1.800183952
7.002430439,1.800183952
7.042302847,1.800183952
7.082766533,1.800183952
7.122964382,1.800183952
7.163290501,1.800183952
7.203819752,1.800183952
7.243667126,1.800183952
7.284204006,1.800183952
7.324377537,1.800183952
7.364941597,1.800183952
7.405121803,1.800183952
7.444838524,1.800183952
7.485092878,1.800183952
7.525252342,1.800183952
7.565303564,1.800183952
7.605249882,1.800183952
7.645147324,1.800183952
7.685286522,1.800183952
7.725729465,1.800183952
7.766160727,1.800183952
7.806724072,1.800183952
7.846524954,1.800183952
7.886945248,1.800183952
7.92714119,1.800183952
7.967524767,1.800183952
8.008055687,1.800183952
8.047894239,1.800183952
8.088494301,1.800183952
8.129166365,1.800183952
8.169329882,1.800183952
8.209388494,1.800183952
8.249363661,1.800183952
8.289408445,1.800183952
8.329484463,1.800183952
8.369435072,1.800183952
8.409614325,1.800183952
8.449419498,1.800183952
8.489762545,1.800183952
8.530116081,1.800183952
8.57032752,1.800183952
8.610668421,1.800183952
8.650717974,1.800183952
8.691107035,1.800183952
8.731281996,1.800183952
8.77157259,1.800183952
8.811920404,1.800183952
8.851641655,1.800183952
8.891824484,1.800183952
8.932057142,1.800183952
8.972517967,1.800183952
9.012764692,1.800183952
9.052412271,1.800183952
9.093181133,1.800183952
9.133381367,1.800183952
9.17347002,1.800183952
9.213516712,1.800183952
9.253368616,1.800183952
9.293538094,1.800183952
9.333715439,1.800183952
9.373875141,1.800183952
9.414343596,1.800183952
9.454247475,1.800183952
9.49439311,1.800183952
9.534539461,1.800183952
9.574941874,1.800183952
9.61524272,1.800183952
9.654993534,1.800183952
9.695354939,1.800183952
9.73560524,1.800183952
9.77605319,1.800183952
9.81598115,1.800183952
9.856631994,1.800183952
9.897204876,1.800183952
9.937629461,1.800183952
9.977558374,1.800183952
10.01726174,1.800183952
10.05761981,1.800183952
10.09764361,1.800183952
10.13763046,1.800183952
10.17763448,1.800183952
10.21758246,1.800183952
10.25764227,1.800183952
10.29769444,1.800183952
10.3377018,1.800183952
10.37781549,1.800183952
10.41809249,1.800183952
10.45795202,1.800183952
10.49847674,1.800183952
10.53871036,1.800183952
10.57916951,1.800183952
10.61952949,1.800183952
10.6593163,1.800183952
10.69965363,1.800183952
10.74027348,1.800183952
10.78078818,1.800183952
10.82074904,1.800183952
10.86142206,1.800183952
10.90172601,1.800183952
10.94175911,1.800183952
10.98194528,1.800183952
